id,address,latitude,longitude,address_road,building_name,age,main_use,floor,under_floor,structure_name,structure_category,gf_area,bc_area,bc_ratio,fa_ratio,parking_lot_count,area,connection_area,landuse_zone,landuse_district,jimok,lot_road,lot_height,lot_shape,icp_potential_landlocked,development_state,naver_longitude,naver_latitude,naver_pnu
2823710400103730005,인천 부평구 청천동 373-5,37.52315305,126.69377706,청천마차로 26,,32,공장,2.0,1.0,철근콘크리트조,철골철근콘크리트,2292.6,1066.9,58.8,117.7,0.0,1813.7,1813.7,준공업지역,,대지,세로(가),평지,사다리,False,,126.6937366,37.52315,2.82371040010373e+18
2823710400104210002,인천 부평구 청천동 421-2,37.51853564,126.71928682,평천로255번길 40,,18,공장,3.0,0.0,철근콘크리트조,철골철근콘크리트,1663.6,708.0,70.5,165.5,5.0,1005.0,1005.0,일반공업지역,,공장,소로한면,평지,세장형,False,,126.7192853,37.5185509,2.82371040010421e+18
2823710400100620056,인천 부평구 청천동 62-56,37.51933792,126.68723852,서달로298번길 83,,27,공장,4.0,0.0,철근콘크리트조,철골철근콘크리트,998.0,309.6,54.9,176.9,5.0,284.0,720.0,준공업지역,,대지,세로(가),평지,세장형,False,,126.6872357,37.5193547,2.82371040010062e+18
2823710400100110004,인천 부평구 청천동 11-4,37.51814953,126.70544678,마장로450번길 18,,35,제1종근린생활시설,4.0,1.0,철근콘크리트조,철골철근콘크리트,1089.0,245.1,58.8,207.6,0.0,416.7,416.7,준공업지역,,대지,세로(가),평지,세장형,False,,126.7054421,37.5181606,2.82371040010011e+18
2823710400103760012,인천 부평구 청천동 376-12,37.52314084,126.69658975,청천마차로 50,신원정밀,19,공장,3.0,0.0,일반철골구조,철골,2136.2,982.5,59.4,129.2,9.0,1652.9,1652.9,준공업지역,,공장,세로(가),평지,세장형,False,,126.6965854,37.5231558,2.82371040010376e+18
2823710400101750049,인천 부평구 청천동 175-49,37.51641394,126.7076266,안남로369번길 44,(주)원협오오상사,14,공장,3.0,0.0,일반철골구조,철골,1407.5,536.0,58.7,154.1,7.0,913.6,913.6,준공업지역,,공장,세로(가),평지,세장형,False,,126.7076226,37.5164384,2.82371040010175e+18
2823710400101740026,인천 부평구 청천동 174-26,37.51684151,126.7059146,마장로432번길 34,(주)생그린,33,공장,3.0,1.0,철근콘크리트조,철골철근콘크리트,2268.9,551.5,59.9,179.8,6.0,291.1,920.1,준공업지역,,대지,세각(가),평지,사다리,False,,126.7058986,37.5168051,2.82371040010174e+18
2823710400104190002,인천 부평구 청천동 419-2,37.51943324,126.71535465,새벌로 29,부평테크노타워,2,공장,9.0,1.0,일반철골구조,철골,40050.1,4405.8,76.4,352.1,158.0,5765.9,5765.9,일반공업지역,,공장,중로각지,평지,정방형,False,,126.7153551,37.5194773,2.82371040010419e+18
2823710400104090004,인천 부평구 청천동 409-4,37.52168437,126.71250776,안남로434번길 33,,51,제1종근린생활시설,3.0,0.0,철근콘크리트조,철골철근콘크리트,1326.6,530.2,55.7,139.4,0.0,952.0,952.0,일반공업지역,,대지,소로각지,평지,정방형,False,,126.7125026,37.5216535,2.82371040010409e+18
2823710400100070033,인천 부평구 청천동 7-33,37.51897273,126.70611946,평천로142번길 24,청천동 창고,15,창고시설,2.0,0.0,일반철골구조,철골,313.6,238.4,68.8,90.5,2.0,118.3,346.6,준공업지역,,창고,소로한면,평지,세장형,False,,126.7061066,37.5189858,2.82371040010007e+18
